Current (A)	Voltage (V)	Temp (C )
0.01	0.573	19
0.02	0.553	18.3
0.03	0.533	18.6
0.04	0.512	18.6
0.05	0.496	18.2
0.06	0.475	18.7
0.07	0.454	18.8
0.08	0.433	19.5
0.09	0.416	19.5
0.1	0.395	19.7
0.11	0.374	19.6
0.12	0.352	20.8
0.13	0.336	21.2
0.14	0.318	19.2
0.15	0.296	19.9
0.16	0.28	20
0.17	0.258	20.5
0.18	0.237	19.6
0.19	0.215	20.4
0.2	0.201	20.2
0.21	0.178	20.6
0.22	0.155	20.7
0.23	0.133	20.2
0.24	0.115	19.2
0.25	0.096	20.6
0.26	0.082	18.6
