Current [A]	Voltage [V] 	Temp [C]
0	0.596	19.7
0.01	0.578	19.1
0.02	0.549	20.5
0.03	0.524	21.1
0.04	0.498	20.4
0.05	0.476	19.8
0.06	0.448	20.7
0.07	0.42	21.4
0.08	0.391	22.3
0.09	0.373	21.9
0.1	0.344	21.8
0.11	0.314	21.5
0.12	0.285	19.7
0.13	0.265	20.4
0.14	0.242	19.1
0.15	0.218	18
0.16	0.208	19.8
0.17	0.183	20.9
0.18	0.155	20.6
0.19	0.128	20.4
0.2	0.112	19.6
0.21	0.103	19.3
0.22	0.071	19.7
