current (A)	voltage (V)	ambient temperature ©
0.01	0.464	19.9
0.02	0.35	20.4
0.03	0.324	19.9
0.04	0.251	19.6
0.05	0.246	18.1
0.06	0.223	19.8
0.07	0.207	20.1
0.08	0.216	19.2
0.09	0.149	21.3
0.1	0.04	20.1
