Iteration   Continuity  Energy  
261        0.0674983       0.117314
262        0.0684818       0.121117
263        0.0775719       0.122361
264        0.0684622       0.120457
265        0.104985       0.131046
266        0.0658784       0.116063
267        0.067638       0.121435
268        0.0649531       0.11412
269        0.0662274       0.118766
270        0.0803706       0.116405
271        0.0712208       0.115484
272        0.0723221       0.117806
273        0.0633345       0.111243
274        0.0782376       0.116786
275        0.0685745       0.115611
276        0.0646689       0.114448
277        0.0701044       0.113583
278        0.0636981       0.110971
279        0.0648402       0.116919
280        0.0744315       0.108475
281        0.0641632       0.113718
282        0.0672601       0.115586
283        0.0635903       0.112026
284        0.0620158       0.111288
285        0.0721185       0.111551
286        0.0721907       0.115679
287        0.0720675       0.107164
288        0.0619395       0.108138
289        0.0634476       0.115002
290        0.0616204       0.107886
291        0.0614624       0.110877
292        0.0937839       0.112056
293        0.0635962       0.113391
294        0.060057       0.109169
295        0.0628644       0.1084
296        0.0756652       0.114193
297        0.0696321       0.105598
298        0.0713874       0.107724
299        0.0707776       0.113257
300        0.0808218       0.107315
301        0.0605853       0.109624
302        0.0767631       0.110089
303        0.0718336       0.111952
304        0.0773076       0.107269
305        0.083278       0.106227
306        0.0621871       0.112401
307        0.0767247       0.103703
308        0.0899794       0.112765
309        0.0609924       0.111101
310        0.0597293       0.105491
311        0.0590701       0.106636
312        0.062161       0.107652
313        0.0950773       0.117201
314        0.058873       0.1044
315        0.0734405       0.10402
316        0.095408       0.117331
317        0.0556291       0.101406
318        0.068219       0.103115
319        0.0595086       0.108312
320        0.0949842       0.115436
321        0.0733545       0.103654
322        0.0828883       0.105138
323        0.0984717       0.121095
324        0.0579197       0.102567
325        0.0669846       0.101532
326        0.0990997       0.120259
327        0.054956       0.0999631
328        0.0806894       0.100442
329        0.0786815       0.104329
330        0.0912251       0.110733
331        0.0562443       0.100565
332        0.0597266       0.102162
333        0.076368       0.0974194
334        0.0554532       0.0999737
335        0.0543768       0.099256
336        0.0549203       0.0980735
337        0.0542145       0.0983404
338        0.0651509       0.0963925
339        0.0695313       0.0974046
340        0.0684013       0.0957698
341        0.0653918       0.0953461
342        0.0614388       0.0968337
343        0.0709363       0.0932357
344        0.0657939       0.0953181
345        0.0583931       0.095954
346        0.0770922       0.0921082
347        0.0647418       0.0953973
348        0.0709341       0.0953608
349        0.0500511       0.0916632
350        0.086144       0.0968179
351        0.0852909       0.111172
352        0.0590754       0.0925153
