Time (sec),Boost (psi),Calculated Load (g/rev),Clutch Sw (on/off),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fuel Economy (mpg),Gear Position (gear),Intake Temp (F),MAF (g/s),Man Abs Press (psi),RPM (RPM),Target Throttle (%),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-26366][2006 USDM Impreza WRX STI][Reflash: Stage1 91 v400.ptm - Realtime: Stage1 91 v400.ptm]"
0.000,-8.45,0.41,off,177.8,0.125,0.00,32.2,5,75.2,25.93,5.65,3806,12.71,15.3,74,0.00,0
0.014,-8.43,0.41,off,177.8,0.125,0.00,32.5,5,75.2,25.93,5.66,3808,12.71,15.3,74,0.00,0
0.051,-8.41,0.41,off,177.8,0.125,0.00,32.0,5,75.2,26.04,5.66,3835,12.71,15.3,74,0.00,0
0.148,-8.41,0.41,off,177.8,0.125,0.00,32.5,5,75.2,25.82,5.66,3836,12.71,15.3,74,0.00,0
0.277,-8.40,0.41,off,177.8,0.125,0.00,32.7,5,75.2,25.82,5.66,3811,12.71,15.3,74,0.00,0
0.361,-8.31,0.41,off,177.8,0.125,0.00,32.5,5,75.2,26.03,5.70,3811,12.71,15.7,74,0.00,0
0.436,-8.25,0.41,off,177.8,0.125,0.00,31.5,5,75.2,26.67,5.75,3834,12.71,15.7,74,0.00,0
0.548,-8.29,0.42,off,177.8,0.125,0.00,31.8,5,75.2,26.78,5.76,3840,12.71,15.3,74,0.00,0
0.641,-8.31,0.42,off,177.8,0.125,0.00,32.2,5,75.2,25.93,5.73,3816,12.87,15.3,74,0.00,0
0.731,-8.38,0.41,off,176.0,0.125,0.00,31.3,5,75.2,26.25,5.67,3817,12.71,15.3,74,0.00,0
0.839,-8.35,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.25,5.70,3840,12.71,15.7,74,0.00,0
0.938,-8.30,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.46,5.75,3844,12.71,15.3,74,0.00,0
1.032,-8.30,0.42,off,176.0,0.125,0.00,32.0,5,75.2,26.46,5.75,3818,12.71,15.3,74,0.00,0
1.128,-8.29,0.42,off,176.0,0.125,0.00,31.8,5,75.2,26.35,5.78,3818,12.87,15.7,74,0.00,0
1.221,-8.31,0.41,off,176.0,0.125,0.00,31.5,5,75.2,26.56,5.77,3844,12.71,15.3,74,0.00,0
1.323,-8.31,0.41,off,176.0,0.125,0.00,31.3,5,75.2,26.67,5.76,3846,12.87,15.3,74,0.00,0
1.424,-8.32,0.42,off,176.0,0.125,0.00,32.0,5,75.2,26.35,5.75,3826,12.87,15.3,74,0.00,0
1.528,-8.35,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.03,5.70,3819,12.71,15.3,74,0.00,0
1.629,-8.33,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.35,5.70,3849,12.71,15.3,74,0.00,0
1.710,-8.31,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.46,5.73,3850,12.71,15.3,74,0.00,0
1.818,-8.29,0.42,off,176.0,0.125,0.00,31.3,5,75.2,26.88,5.72,3827,12.71,15.3,74,0.00,0
1.916,-8.29,0.42,off,176.0,0.125,0.00,31.8,5,75.2,26.25,5.75,3829,12.71,15.3,74,0.00,0
2.037,-8.35,0.41,off,176.0,0.125,0.00,31.5,5,75.2,26.25,5.73,3850,12.87,15.3,74,0.00,0
2.111,-8.30,0.42,off,176.0,0.125,0.00,31.3,5,75.2,26.67,5.76,3851,12.87,15.3,74,0.00,0
2.201,-8.32,0.42,off,176.0,0.125,0.00,31.8,5,75.2,26.46,5.75,3834,12.71,15.3,74,0.00,0
2.327,-8.34,0.41,off,176.0,0.125,0.00,31.5,5,75.2,26.56,5.71,3858,12.71,15.3,74,0.00,0
2.406,-8.37,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.14,5.67,3863,12.71,15.3,74,0.00,0
2.495,-8.30,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.46,5.70,3834,12.71,15.3,74,0.00,0
2.596,-8.31,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.46,5.73,3845,12.71,15.3,74,0.00,0
2.694,-8.31,0.41,off,176.0,0.125,0.00,32.5,5,75.2,26.25,5.75,3860,12.71,15.3,75,0.00,0
2.809,-8.35,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.35,5.73,3862,12.71,15.3,75,0.00,0
2.890,-8.34,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.46,5.69,3845,12.71,15.3,75,0.00,0
2.991,-8.36,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.69,3868,12.71,15.3,75,0.00,0
3.083,-8.36,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.35,5.70,3864,12.71,15.3,75,0.00,0
3.186,-8.31,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.46,5.70,3852,12.71,15.3,75,0.00,0
3.288,-8.36,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.77,5.72,3844,12.71,15.3,75,0.00,0
3.379,-8.35,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.73,3866,12.70,15.3,75,0.00,0
3.482,-8.35,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.56,5.73,3850,12.71,15.3,75,0.00,0
3.576,-8.41,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.70,3852,12.71,15.3,75,0.00,0
3.678,-8.37,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.70,3875,12.70,15.3,75,0.00,0
3.772,-8.39,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.56,5.72,3853,12.70,15.3,75,0.00,0
3.875,-8.35,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.46,5.73,3854,12.70,15.3,75,0.00,0
3.968,-8.35,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.46,5.75,3884,12.70,15.3,75,0.00,0
4.065,-8.34,0.41,off,176.0,0.125,0.00,32.5,5,75.2,26.25,5.72,3873,12.70,15.3,75,0.00,0
4.166,-8.40,0.41,off,176.0,0.125,0.00,32.7,5,75.2,26.14,5.70,3865,12.71,15.3,75,0.00,0
4.269,-8.39,0.41,off,176.0,0.125,0.00,32.5,5,75.2,26.35,5.70,3889,12.70,15.3,75,0.00,0
4.359,-8.39,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.67,5.71,3887,12.71,15.7,75,0.00,0
4.460,-8.32,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.67,5.72,3872,12.71,15.3,75,0.00,0
4.555,-8.39,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.46,5.72,3890,12.71,15.3,75,0.00,0
4.657,-8.36,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.46,5.72,3889,12.70,15.3,75,0.00,0
4.759,-8.40,0.41,off,176.0,0.125,0.00,31.5,5,75.2,26.78,5.70,3869,12.70,15.3,75,0.00,0
4.853,-8.39,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.69,3893,12.70,15.3,75,0.00,0
4.958,-8.40,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.56,5.69,3892,12.70,15.3,75,0.00,0
5.051,-8.36,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.67,5.71,3872,12.70,15.3,75,0.00,0
5.145,-8.37,0.41,off,176.0,0.125,0.00,32.5,5,75.2,26.25,5.75,3903,12.70,15.3,75,0.00,0
5.248,-8.41,0.41,off,176.0,0.125,0.00,32.5,5,75.2,26.25,5.72,3879,12.70,15.3,75,0.00,0
5.343,-8.41,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.67,5.66,3874,12.70,15.3,75,0.00,0
5.442,-8.40,0.41,off,176.0,0.125,0.00,32.5,5,75.2,26.14,5.69,3889,12.70,15.3,75,0.00,0
5.534,-8.40,0.41,off,176.0,0.125,0.00,31.5,5,75.2,26.88,5.69,3874,12.71,15.3,75,0.00,0
5.638,-8.37,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.72,3878,12.70,15.3,75,0.00,0
5.734,-8.37,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.56,5.69,3899,12.70,15.3,75,0.00,0
5.833,-8.42,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.71,3884,12.70,15.3,75,0.00,0
5.929,-8.42,0.41,off,176.0,0.125,0.00,32.0,5,75.2,26.56,5.67,3883,12.70,15.3,75,0.00,0
6.028,-8.41,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.35,5.69,3904,12.70,15.3,75,0.00,0
6.123,-8.40,0.41,off,176.0,0.125,0.00,31.5,5,75.2,26.88,5.69,3884,12.70,15.3,75,0.00,0
6.229,-8.40,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.71,3912,12.70,15.3,75,0.00,0
6.318,-8.37,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.25,5.70,3902,12.70,15.3,75,0.00,0
6.422,-8.39,0.41,off,176.0,0.125,0.00,31.5,5,75.2,26.77,5.67,3894,12.70,15.3,75,0.00,0
6.518,-8.43,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.64,3910,12.70,15.3,76,0.00,0
6.623,-8.41,0.41,off,176.0,0.125,0.00,32.2,5,75.2,26.46,5.62,3892,12.70,15.3,76,0.00,0
6.714,-8.36,0.41,off,176.0,0.125,0.00,32.5,5,75.2,26.14,5.67,3889,12.70,15.3,76,0.00,0
6.810,-8.36,0.41,off,176.0,0.125,0.00,32.5,5,75.2,26.46,5.71,3903,12.70,15.3,76,0.00,0
6.909,-8.36,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.77,5.70,3898,12.70,15.3,75,0.00,0
7.008,-8.41,0.41,off,176.0,0.125,0.00,31.8,5,75.2,26.77,5.64,3922,12.70,15.3,75,0.00,0
7.102,-8.42,0.41,off,174.2,0.125,0.00,32.5,5,75.2,26.25,5.64,3923,12.70,15.3,75,0.00,0
7.208,-8.41,0.40,off,174.2,0.125,0.00,32.0,5,75.2,26.56,5.65,3901,12.70,15.3,75,0.00,0
7.299,-8.39,0.41,off,174.2,0.125,0.00,32.2,5,75.2,26.46,5.69,3919,12.70,15.7,75,0.00,0
7.396,-8.39,0.41,off,174.2,0.125,0.00,32.2,5,75.2,26.46,5.67,3906,12.70,15.3,76,0.00,0
7.495,-8.42,0.41,off,174.2,0.125,0.00,32.0,5,75.2,26.67,5.62,3909,12.70,15.7,76,0.00,0
7.598,-8.42,0.41,off,174.2,0.125,0.00,32.5,5,75.2,26.46,5.64,3932,12.70,15.3,76,0.00,0
7.698,-8.40,0.40,off,174.2,0.125,0.00,32.2,5,75.2,26.56,5.65,3920,12.70,15.3,76,0.00,0
7.798,-8.41,0.40,off,174.2,0.125,0.00,32.5,5,75.2,26.35,5.66,3936,12.70,15.3,76,0.00,0
7.892,-8.44,0.41,off,174.2,0.125,0.00,32.5,5,75.2,26.56,5.64,3929,12.70,15.3,76,0.00,0
7.988,-8.49,0.41,off,174.2,0.125,0.00,32.0,5,75.2,26.77,5.60,3945,12.70,15.3,76,0.00,0
8.089,-8.48,0.40,off,174.2,0.125,0.00,32.5,5,75.2,26.46,5.59,3953,12.70,15.3,76,0.00,0
8.181,-8.43,0.41,off,174.2,0.125,0.00,32.2,5,75.2,26.35,5.65,3935,12.70,15.3,76,0.00,0
8.289,-8.43,0.40,off,174.2,0.125,0.00,31.5,5,75.2,26.98,5.61,3941,12.70,15.3,76,0.00,0
8.378,-8.48,0.40,off,174.2,0.125,0.00,32.5,5,75.2,26.35,5.59,3928,12.70,15.3,76,0.00,0
