Time (sec),Boost (psi),Calculated Load (g/rev),Clutch Sw (on/off),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fuel Economy (mpg),Gear Position (gear),Intake Temp (F),MAF (g/s),Man Abs Press (psi),RPM (RPM),Target Throttle (%),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-26366][2006 USDM Impreza WRX STI][Reflash: Stage1 91 v400.ptm - Realtime: Stage1 91 v400.ptm]"
0.000,-6.44,0.61,off,177.8,0.375,0.00,28.9,6,73.4,22.08,8.39,2250,11.09,12.9,56,16.08,0
0.057,-6.59,0.60,off,177.8,0.375,0.00,28.7,6,73.4,21.94,8.17,2250,11.09,12.9,56,16.08,0
0.165,-6.63,0.59,off,177.8,0.375,0.00,28.5,6,73.4,22.10,8.10,2259,11.10,12.9,56,16.08,0
0.255,-6.67,0.59,off,177.8,0.375,0.00,28.9,6,73.4,21.94,8.05,2262,11.09,12.9,56,16.08,0
0.355,-6.66,0.59,off,177.8,0.375,0.00,28.9,6,73.4,22.11,8.06,2249,11.09,12.9,56,16.08,0
0.472,-6.68,0.59,off,177.8,0.375,0.00,28.9,6,73.4,22.11,8.08,2260,11.09,12.9,56,16.08,0
0.556,-6.67,0.59,off,177.8,0.375,0.00,28.9,6,73.4,22.12,8.06,2259,11.09,12.9,56,16.08,0
0.676,-6.67,0.59,off,177.8,0.375,0.00,28.5,6,73.4,22.45,8.03,2241,11.09,12.9,56,16.08,0
0.754,-6.64,0.59,off,179.6,0.375,0.00,28.7,6,73.4,22.03,8.05,2252,11.08,12.9,56,16.08,0
0.893,-6.66,0.59,off,179.6,0.375,0.00,28.9,6,73.4,21.85,8.06,2250,11.08,12.9,56,16.08,0
0.957,-6.64,0.59,off,179.6,0.375,0.00,28.9,6,73.4,21.94,8.10,2232,11.09,12.9,56,16.08,0
1.065,-6.68,0.59,off,179.6,0.375,0.00,29.4,6,73.4,21.76,8.09,2245,11.08,12.9,56,16.08,0
1.155,-6.66,0.59,off,179.6,0.375,0.00,29.4,6,73.4,21.86,8.11,2246,11.08,12.9,56,16.08,0
1.260,-6.57,0.59,off,179.6,0.375,0.00,27.5,6,73.4,23.16,8.06,2235,12.34,14.5,56,16.08,0
1.340,-5.81,0.63,off,179.6,0.375,0.00,24.5,6,73.4,26.24,8.66,2252,13.49,15.7,56,16.08,0
1.475,-5.26,0.69,off,179.6,0.375,0.00,24.0,6,73.4,27.17,9.35,2250,13.61,15.7,56,16.08,0
1.528,-5.05,0.71,off,179.6,0.375,0.00,23.1,6,73.4,27.27,9.65,2231,13.63,15.7,56,16.08,0
1.654,-5.02,0.72,off,179.6,0.375,0.00,23.1,6,73.4,27.15,9.75,2244,13.90,15.7,56,16.08,0
1.737,-4.88,0.73,off,179.6,0.375,0.00,23.1,6,73.4,27.57,9.82,2244,13.89,16.1,56,16.08,0
1.843,-4.71,0.74,off,179.6,0.375,0.00,22.6,6,73.4,28.12,9.95,2233,13.90,16.1,56,16.08,0
1.923,-4.64,0.74,off,179.6,0.375,0.00,22.3,6,73.4,28.40,10.06,2245,14.02,16.1,56,16.08,0
2.035,-4.60,0.75,off,179.6,0.375,0.00,22.3,6,73.4,28.18,10.12,2228,14.30,16.5,56,16.08,0
2.136,-4.40,0.76,off,179.6,0.375,0.00,21.6,6,73.4,29.35,10.23,2232,14.78,16.9,56,16.08,0
