Time (sec),Boost (psi),Calculated Load (g/rev),Clutch Sw (on/off),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fuel Economy (mpg),Gear Position (gear),Intake Temp (F),MAF (g/s),Man Abs Press (psi),RPM (RPM),Target Throttle (%),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-26366][2006 USDM Impreza WRX STI][Reflash: Stage1 91 v400.ptm - Realtime: Stage1 91 v400.ptm]"
0.000,-10.12,0.26,off,190.4,0.500,0.00,0.0,0,93.2,3.53,4.40,770,0.00,2.0,0,0.00,0
0.046,-10.12,0.26,off,190.4,0.500,0.00,0.0,0,93.2,3.53,4.39,764,0.00,2.0,0,0.00,0
0.152,-10.12,0.26,off,190.4,0.500,0.00,0.0,0,93.2,3.48,4.40,764,0.00,2.0,0,0.00,0
0.239,-10.10,0.26,off,190.4,0.500,0.00,0.0,0,93.2,3.63,4.41,766,0.00,2.0,0,0.00,0
0.352,-10.12,0.26,on,190.4,0.500,0.00,0.0,0,93.2,3.55,4.41,762,0.00,2.0,0,0.00,0
0.431,-10.12,0.26,on,190.4,0.500,0.00,0.0,0,93.2,3.48,4.41,767,0.00,2.0,0,0.00,0
0.533,-10.08,0.26,on,190.4,0.500,0.00,0.0,0,93.2,3.60,4.41,761,0.00,2.0,0,0.00,0
0.629,-10.08,0.26,on,190.4,0.500,0.00,0.0,0,93.2,3.63,4.44,745,0.00,2.0,0,0.00,0
0.736,-10.06,0.27,on,190.4,0.500,0.00,0.0,0,93.2,3.58,4.45,746,0.00,2.0,0,0.00,0
0.854,-10.06,0.27,on,190.4,0.500,0.00,0.0,0,93.2,3.58,4.46,758,0.00,2.0,0,0.00,0
0.922,-10.05,0.27,on,190.4,0.500,0.00,0.0,0,93.2,3.63,4.47,761,0.00,2.0,0,0.00,0
1.022,-10.06,0.27,on,190.4,0.500,0.00,0.0,1,93.2,3.51,4.46,759,0.00,2.0,0,0.00,0
1.130,-10.07,0.26,on,190.4,0.500,0.00,0.0,1,93.2,3.39,4.46,762,0.00,2.0,0,0.00,0
1.224,-10.07,0.26,on,190.4,0.500,0.00,0.0,1,93.2,3.34,4.45,774,0.00,2.0,0,0.00,0
1.329,-10.08,0.26,on,190.4,0.500,0.00,0.0,1,93.2,3.48,4.42,772,0.00,2.0,0,0.00,0
1.421,-10.11,0.26,on,190.4,0.500,0.00,0.0,1,93.2,3.58,4.44,762,0.00,2.0,0,0.00,0
1.516,-10.10,0.26,on,190.4,0.500,0.00,0.0,1,93.2,3.63,4.42,762,0.00,2.0,0,0.00,0
1.613,-10.12,0.26,on,190.4,0.500,0.00,0.0,1,93.2,3.55,4.41,776,0.00,2.0,0,0.00,0
