Time [ms],Column 0,Column 1
23111,0.4,1.02
23209,0.4,1.04
23312,0.41,1.05
23414,0.41,1.09
23513,0.42,1.1
23615,0.4,1.04
23717,0.41,1.05
23816,0.4,1.04
23918,0.4,1.04
24016,0.41,1.05
24119,0.4,1
24221,0.39,0.99
24319,0.39,0.99
24422,0.4,1.02
24521,0.41,1.05
24623,0.41,1.05
24725,0.4,1.02
24824,0.4,1.02
24926,0.41,1.05
25028,0.41,1.09
25127,0.41,1.05
25229,0.41,1.05
25327,0.4,1.04
25430,0.4,1.02
25532,0.4,1.04
25630,0.41,1.05
25733,0.4,1.04
25835,0.41,1.05
25933,0.4,1.04
26035,0.4,1.04
26134,0.4,1.02
26236,0.41,1.07
26339,0.4,1.04
26437,0.41,1.07
26539,0.4,1.04
26638,0.4,1.02
26740,0.4,1.04
26843,0.4,1.02
26941,0.41,1.05
27043,0.4,1.04
27145,0.4,1
27244,0.4,1.02
27346,0.4,1.04
27445,0.4,1.04
27547,0.4,1.02
27650,0.41,1.05
27748,0.41,1.05
27850,0.41,1.05
27952,0.4,1.04
28051,0.41,1.05
28153,0.4,1.02
28251,0.4,1.04
28354,0.4,1.04
28456,0.4,1.02
28554,0.4,1.02
28657,0.4,1.02
28755,0.4,1.02
28858,0.4,1
28960,0.4,1.02
29059,0.4,1.02
29161,0.41,1.05
29263,0.4,1.04
29361,0.41,1.07
29464,0.41,1.05
29562,0.4,1.04
29665,0.41,1.05
29767,0.4,1.04
29865,0.4,1.02
29967,0.4,1.02
30070,0.41,1.05
30168,0.4,1.02
30271,0.4,1
30369,0.4,1.02
30471,0.4,1.04
30574,0.4,1.04
30672,0.4,1.04
30774,0.4,1.02
30877,0.4,1.02
30976,0.41,1.05
31077,0.4,1.04
31176,0.4,1.04
31278,0.41,1.05
31381,0.41,1.07
31479,0.4,1.04
31582,0.4,1.04
31680,0.4,1.02
31782,0.4,1.02
31884,0.4,1.04
31983,0.4,1.04
32085,0.4,1.04
32187,0.4,1.04
32286,0.4,1.04
32388,0.41,1.05
32486,0.4,1.04
32589,0.4,1.04
32691,0.4,1.04
32789,0.4,1.04
32892,0.4,1.04
32994,0.4,1
33092,0.4,1.02
33195,0.4,1.02
33293,0.4,1.02
33396,0.41,1.07
33498,0.4,1.04
33596,0.4,1.04
33699,0.41,1.05
33797,0.4,1.04
33900,0.41,1.05
34002,0.41,1.05
34100,0.4,1
34203,0.4,1.04
34305,0.4,1
34404,0.4,1.02
34506,0.4,1.02
34605,0.4,1.04
34707,0.4,1.02
34809,0.41,1.05
34907,0.4,1.02
35009,0.4,1.04
35112,0.4,1.02
35210,0.4,1.02
35313,0.4,1.04
35411,0.4,1.04
35513,0.4,1
35616,0.4,1.02
35714,0.4,1.04
35816,0.41,1.05
35915,0.4,1.04
36017,0.4,1.04
36119,0.41,1.07
36218,0.4,1.04
36320,0.41,1.07
36423,0.41,1.05
36521,0.03,-0.93
36623,0.39,0.95
36722,0.4,1
36824,0.39,0.99
36926,0.39,0.97
37025,0.39,0.99
37127,0.35,0.78
37230,0,-1.08
37328,0,-1.08
37430,0,-1.08
37533,0,-1.08
37631,0,-1.08
37733,0,-1.08
37836,0,-1.08
37934,0,-1.08
38036,0,-1.08
38134,0,-1.08
38237,0,-1.08
38339,0,-1.08
38438,0,-1.08
38540,0,-1.08
38639,0,-1.08
38741,0,-1.08
38843,0,-1.08
38941,0,-1.08
39044,0,-1.08
39146,0,-1.08
39245,0,-1.08
39347,0,-1.08
39445,0,-1.08
39548,0,-1.08
39650,0,-1.08
39748,0,-1.08
39851,0,-1.08
39949,0,-1.08
40051,0,-1.08
40154,0,-1.08
40252,0,-1.08
40355,0,-1.08
